text,label,source
How the pandemic is influencing the mental health of caregivers. millions of people around the world care for loved ones who live with a disability or chronic condition. this role can sometimes take a toll on mental health but what is the impact on caregivers during a pandemic. medical news today finds out. in this special feature we look at how the pandemic has been affecting the mental health of people who act as caregivers. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit.,1,CoAID
"""You have to be with someone for 10 minutes to catch the virus""",0,CoAID-Claim
A widely-circulated image claims to reveal the ingredients contained in this year’s flu shots. The alleged ingredients include mercury antifreeze phenol animal blood animal viruses and formaldehyde.,0,CoAID
"Better communication can help couples affected by Alzheimer’s. Previous research on communication in couples affected by Alzheimer’s has tended to focus on deficits, said study author Christine Williams, professor and director of the PhD in Nursing program at Florida Atlantic University’s Christine E. Lynn College of Nursing. Identifying patterns that help couples maintain their bond could make it easier for caregiving spouses to find meaning and improve satisfaction with their marriage.

As Alzheimer’s disease progresses, cognitive impairment can take an ever greater toll on communication and relationships. A new study identifies patterns of communication that can help couples affected by Alzheimer’s maintain a sense of connection, which could improve quality of life for both partners.

Advertisement

“No one is looking at it from the perspective of what these couples are doing right, what is helping,” said Williams, whose findings were published in the International Journal for Human Caring. “Some past research has involved a caregiver giving directions and seeing if his or her spouse [with Alzheimer’s] can follow. A relationship is obviously so much more than that.”

Members of Williams’s research team visited 15 couples in their home once a week for 10 weeks. The couples, who were recruited from a day program for people with memory disorders and their spouses, were receiving coaching in communication, with caregivers learning to listen, to avoid arguing, to not treat their spouse like a child. Twice during the 10 weeks, the couples were asked to discuss a topic of their choosing while the researcher left the room. A total of thirty 10-minute conversations were recorded.

In analyzing the recordings, Williams identified 10 communication patterns that caregiving spouses used to connect with their partners and show affection. These patterns showed the caregivers applying what they’d learned through coaching in creative ways, she said. They included sharing news about friends or relatives or plans for the day as a way to involve their spouse in day-to-day events; waiting patiently and keeping eye contact while spouses searched for words; and finding alternate ways to communicate — for example, singing songs together when attempts to engage the spouse in certain topics failed.

Advertisement

The caregiving spouses seemed to value their partners’ efforts to communicate as much as or more than the actual content of their conversations. They were willing to listen to stories they had heard before, and resisted correcting their partners’ versions of past events. This showed that they “value the relationship more than being right,” Williams said.

Some of the caregivers did voice frustration or tried to teach their partners information they had forgotten. Future research might focus on interventions that could help diffuse these frustrations, the paper noted. Yet Williams hopes that the more supportive and positive communication patterns that many of the caregivers showed will help nurses coach spouses and family members affected by Alzheimer’s. Previous research has found that communication decline among people with dementia is a significant source of stress to caregivers, and most say they need education about communication.

“The reality is, a person with dementia isn’t going to have a dramatic breakthrough and remember things forgotten,” Williams said. “At the same time, people with Alzheimer’s do have moments of clarity or show affection when it’s unexpected. These are moments that caregivers can cherish.”

Ami Albernaz can be reached at ami.albernaz@gmail.com.",0,FakeHealth-HealthStory
Army Researchers Collaborate on Universal Antibody Test for COVID-19,1,CoAID
Celebrating Grandma's 95th From a Social Distance. march 23 2020 -- when your grandmother turns 95 you find a way to make her feel special -- global pandemic or not. at least that s how one family felt after their matriarchs birthday plans got canceled due to the coronavirus. the byrne family went above and beyond to celebrate their grandma kathleen byrne by showing up outside her house in new york with signs and balloons -- all while sticking to social distancing guidelines according to cnn. kathleens granddaughter sara shared a vid.,1,CoAID
"New drug promising against cholesterol. People who can’t control cholesterol with diet, exercise and statin drugs could soon have a new option.

According to a new study, a medication, ancetrapib, appears to simultaneously raise the level of HDL – sometimes called “good” cholesterol- and to lower the level of LDL, or “bad” cholesterol.

HDL cholesterol is not fully understood, but essentially sucks cholesterol out of cells, to be flushed from the body through the liver.

The study was sponsored by Merck, the drug’s manufacturer. It was published in the New England Journal of Medicine and results were to be presented Wednesday at a meeting of American Heart Association in Chicago.

The so-called DEFINE trial involved 1,623 patients with coronary heart disease or at high risk for it. All were taking statins to lower LDL cholesterol. Roughly half also received ancetrapib, while half got a placebo. On average, within 24 weeks patients getting ancetrapib saw LDL levels drop by nearly 40 percent compared with the placebo group, while their HDL levels rose by 138 percent. There were no significant side effects.

If the same benefit were seen in all patients at risk of heart disease – far from a sure thing – it would translate to hundreds of thousands of fewer deaths and heart attacks over a five-year period, according to Dr. Christopher Cannon, the lead study author and a cardiologist at Brigham and Women’s Hospital in Boston.

“It’s an amazing result,” said Dr. Robert Eckel of the University of Colorado, a past president of the American Heart Association. “It’s like a rocket that landed on Jupiter, rather than the moon.” Still, Eckel warned it’s too soon to say whether ancetrapib would actually prevent disease over the long run.

There’s ample reason for caution. A similar medication, torcetrapib, was considered promising four years ago, but was shelved by Pfizer after studies found it actually raised blood pressure and the risk of heart problems and death.

Dr. PK Shah, cardiologist at the Cedars-Sinai Heart Institute, said that he’s encouraged by DEFINE but that some of the details give him pause. “It appears to be safe and to not raise blood pressure,” Shah told CNN, “but it’s not a slam-dunk.” For one thing, despite improved cholesterol levels, patients did not see less inflammation in their blood vessels. Inflammation is a sign of damage from cholesterol.

To try to provide final answers, Merck is launching a study – called REVEAL – to follow 30,000 people, in several countries, over four years. The first patients will be enrolled in April, according to Dr. Rory Collins of Oxford University, where the research will be overseen.

Lee Davies, a Merck spokesman, said the company is not likely to seek FDA approval until those results are in, most likely in 2015. By then, results will also be in on a large study of a similar drug, dalcetrapib, made by Merck’s competitor, Roche.",1,FakeHealth-HealthStory
"Salsalate May Help Treat Type 2 Diabetes. March 15, 2010 -- A common pain reliever may help people with type 2 diabetes control their blood sugar levels.

A preliminary study shows salsalate reduced blood sugar levels and helped with glycemic control at a variety of doses in people with type 2 diabetes. However, it also has been shown to increase protein in the urine and its long-term safety will need further investigation.

Like aspirin, salsalate is an anti-inflammatory drug derived from salicylate and is often used to treat arthritis. Researchers say the first reports of salicylate-based drugs aiding in the treatment of diabetes were published more than a century ago.

More recently, inflammation has been implicated in development of the insulin resistance that leads to elevated blood sugar levels associated with type 2 diabetes. Aspirin has also been shown to lower blood sugar levels, but the high doses required are associated with a risk of bleeding, which limits its utility.

That prompted researchers to take another look at salsalate in reducing blood sugar levels. Salsalate contains the same active ingredient as aspirin but is associated with fewer side effects.

In the study, published in the Annals of Internal Medicine, researchers randomly assigned 108 people with type 2 diabetes to receive 3, 3.5, or 4 grams per day of salsalate or a placebo in addition to their current diabetes therapy for 14 weeks.

The results showed those who took salsalate at each of the dosage levels experienced a beneficial decrease in blood sugar A1c levels of 0.5% or more. Other markers of glycemic control and heart disease risk also improved in the three salsalate groups compared with the placebo group. No single dose of salsalate seemed safer or more effective than another.

Although only minor side effects of salsalate use were reported, researchers say salsalate users tended to develop more protein in their urine. Elevated protein levels in the urine may indicate negative effects on kidney function.

Due to the small size of the study and short follow-up time, researchers say it's too soon to recommend use of salsalate for the treatment of type 2 diabetes. But the results do merit further research.

""Because of salsalate's anti-inflammatory effects, our results suggest that inflammation plays a role in the pathogenesis of type 2 diabetes and that anti-inflammatory therapy may be useful for treating diabetes,"" write researchers Allison B. Goldfine, MD, of the Joslin Diabetes Center in Boston, and colleagues. ""We are conducting a larger trial involving more patients with type 2 diabetes to further establish whether a salsalate dosage of 3.5g/day provides durable and safe control of blood glucose in this population.""",0,FakeHealth-HealthStory
Cruise Ship No Sail Order Extended Through October 31. centers for disease control and prevention cdc announced today extension of no sail order for cruise ships through october 31 2020. this order continues to suspend passenger operations on cruise ships with capacity to carry at least 250 passengers in waters subject to u.s. jurisdiction. cumulative surveillance data reported to cdc from march 1 through september 29 2020 shows at least 3.689 covid-19 or covid like illness cases on cruise ships in u.s. waters in addition to at.,1,CoAID
"Sweden has a lower COVID-19 death rate than Spain, Italy and the U.K., even though it never had a lockdown",0,CoAID
